trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,10,1,4,8.802340984344482,4.401170492172241,0.09185671806335449,"[4.493027210235596, 4.309313774108887]"
2,1,-1,0,0.0,0.0,0.0,[]
3,5,-1,2,1.717350721359253,1.717350721359253,0.0,[1.717350721359253]
4,5,1,0,0.0,0.0,0.0,[]
5,1,1,4,1.9150538444519043,0.9575269222259521,0.11189007759094238,"[0.8456368446350098, 1.0694169998168945]"
6,5,1,4,3.5867137908935547,1.7933568954467773,0.14808106422424316,"[1.9414379596710205, 1.6452758312225342]"
7,30,1,8,7.949652910232544,1.987413227558136,0.8847146687009699,"[3.4132847785949707, 1.7013828754425049, 1.845475196838379, 0.9895100593566895]"
8,5,-1,0,0.0,0.0,0.0,[]
9,5,-1,2,1.9570529460906982,1.9570529460906982,0.0,[1.9570529460906982]
10,1,1,4,3.322840929031372,1.661420464515686,0.46394455432891846,"[1.1974759101867676, 2.1253650188446045]"
11,10,-1,4,2.722788095474243,1.3613940477371216,0.051864027976989746,"[1.4132580757141113, 1.3095300197601318]"
12,30,-1,8,8.325370788574219,2.0813426971435547,0.168887539061815,"[2.0213451385498047, 2.0695250034332275, 2.349385976791382, 1.8851146697998047]"
13,10,1,8,10.959428310394287,2.7398570775985718,1.4645748904410856,"[2.0773539543151855, 5.189656019210815, 1.325498104095459, 2.366920232772827]"
14,5,-1,0,0.0,0.0,0.0,[]
15,1,-1,2,1.73323392868042,1.73323392868042,0.0,[1.73323392868042]
16,1,1,2,4.229210138320923,4.229210138320923,0.0,[4.229210138320923]
17,1,-1,0,0.0,0.0,0.0,[]
18,10,1,8,8.13361382484436,2.03340345621109,0.9645991104112936,"[3.30167293548584, 2.197481870651245, 2.0454349517822266, 0.5890240669250488]"
19,10,-1,6,10.608238220214844,3.5360794067382812,0.23389787135393722,"[3.5811221599578857, 3.2297611236572266, 3.7973549365997314]"
20,10,1,8,9.43185305595398,2.357963263988495,0.6372522702703587,"[3.053591012954712, 2.9195210933685303, 1.5973498821258545, 1.8613910675048828]"
21,30,1,8,10.014163970947266,2.5035409927368164,1.3798256900303298,"[4.389539957046509, 2.9336371421813965, 2.117358922958374, 0.5736279487609863]"
22,30,1,6,5.090439796447754,1.6968132654825847,0.2514034899141617,"[1.3652358055114746, 1.9737229347229004, 1.751481056213379]"
23,5,1,4,5.082345247268677,2.5411726236343384,1.279739499092102,"[3.8209121227264404, 1.2614331245422363]"
24,1,1,4,4.866875886917114,2.433437943458557,0.4598609209060669,"[2.893298864364624, 1.9735770225524902]"
25,1,-1,0,0.0,0.0,0.0,[]
26,30,-1,2,2.613408088684082,2.613408088684082,0.0,[2.613408088684082]
27,10,-1,4,2.410691499710083,1.2053457498550415,0.25598013401031494,"[1.4613258838653564, 0.9493656158447266]"
28,10,-1,4,3.6986401081085205,1.8493200540542603,0.020059943199157715,"[1.869379997253418, 1.8292601108551025]"
29,30,-1,6,4.991779088973999,1.663926362991333,0.14483997505021853,"[1.8611791133880615, 1.5174832344055176, 1.61311674118042]"
30,30,-1,4,3.0186750888824463,1.5093375444412231,0.3438965082168579,"[1.853234052658081, 1.1654410362243652]"
31,30,1,8,9.741518497467041,2.4353796243667603,0.6494327713297369,"[2.245422124862671, 2.349548101425171, 3.469257116317749, 1.6772911548614502]"
32,5,1,6,6.096357107162476,2.032119035720825,1.0227394289273406,"[3.133359909057617, 2.2935609817504883, 0.6694362163543701]"
